Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, COUT1",1206,3,100nF,
"C2, CIN1",1206,2,10uf,
"CIN2, CIN3",1206,2,1uF,
COUT2,1206,1,47uF,
IC1,ESP32C3MINI1N4X,1,ESP32-C3-MINI-1-N4X,
IC2,L6983N33QTR,1,L6983N33QTR,
"J1, J2, J4",TerminalBlock_bornier-2_P5.08mm,3,Screw_Terminal_01x02,
J3,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J5,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,Conn_01x03_Pin,
L2,XAL6060472MEC,1,XAL6060-472MEC,
Q2,FDD4685F085,1,FQD13N10LTM,
R1,0805,1,220ohm,
R10,0805,1,1Mohm,
"R2, R3, R4, R9",0805,4,10k,
R5,0805,1,470ohm,
"R6, R7",0805,2,100ohm,
R8,0805,1,100K,
"S1, S2",KMR_2,2,KMR211G_LFS,
